currency_name	foreign_rates	inr_rates	date
Argentine Peso	4.366969	0.228992	2023-12-11
Australian Dollar	0.018221	54.882399	2023-12-11
Bahraini Dinar	0.004506	221.903036	2023-12-11
Botswana Pula	0.163376	6.120845	2023-12-11
Brazilian Real	0.059003	16.948353	2023-12-11
Bruneian Dollar	0.016082	62.180768	2023-12-11
Bulgarian Lev	0.021777	45.919223	2023-12-11
Canadian Dollar	0.016281	61.422427	2023-12-11
Chilean Peso	10.437636	0.095807	2023-12-11
Chinese Yuan Renminbi	0.085852	11.647934	2023-12-11
Colombian Peso	47.8034	0.020919	2023-12-11
Czech Koruna	0.271391	3.684727	2023-12-11
Danish Krone	0.083017	12.045724	2023-12-11
Euro	0.011135	89.810195	2023-12-11
Hong Kong Dollar	0.093602	10.683522	2023-12-11
Hungarian Forint	4.24284	0.235691	2023-12-11
Icelandic Krona	1.673645	0.597498	2023-12-11
Indonesian Rupiah	186.433738	0.005364	2023-12-11
Indian Rupees	1.0	1.0	2023-12-11
Iranian Rial	504.745015	0.001981	2023-12-11
Israeli Shekel	0.044405	22.519795	2023-12-11
Japanese Yen	1.737916	0.575402	2023-12-11
Kazakhstani Tenge	5.498374	0.181872	2023-12-11
South Korean Won	15.794815	0.063312	2023-12-11
Kuwaiti Dinar	0.003697	270.490879	2023-12-11
Libyan Dinar	0.057981	17.24689	2023-12-11
Malaysian Ringgit	0.055915	17.884272	2023-12-11
Mauritian Rupee	0.529974	1.886885	2023-12-11
Mexican Peso	0.207906	4.809861	2023-12-11
Nepalese Rupee	1.60075	0.624707	2023-12-11
New Zealand Dollar	0.019574	51.088324	2023-12-11
Norwegian Krone	0.130698	7.65122	2023-12-11
Omani Rial	0.004614	216.714552	2023-12-11
Pakistani Rupee	3.403839	0.293786	2023-12-11
Philippine Peso	0.66496	1.50385	2023-12-11
Polish Zloty	0.048225	20.736225	2023-12-11
Qatari Riyal	0.043626	22.921852	2023-12-11
Romanian New Leu	0.055331	18.073043	2023-12-11
Russian Ruble	1.103744	0.906007	2023-12-11
Saudi Arabian Riyal	0.044945	22.249478	2023-12-11
Singapore Dollar	0.016082	62.180768	2023-12-11
South African Rand	0.22712	4.402956	2023-12-11
Sri Lankan Rupee	3.923451	0.254878	2023-12-11
Swedish Krona	0.125472	7.969896	2023-12-11
Swiss Franc	0.010547	94.813359	2023-12-11
Taiwan New Dollar	0.376679	2.654777	2023-12-11
Thai Baht	0.425498	2.350185	2023-12-11
Trinidadian Dollar	0.081333	12.295188	2023-12-11
Turkish Lira	0.347003	2.881816	2023-12-11
Emirati Dirham	0.044016	22.719004	2023-12-11
British Pound	0.009551	104.699969	2023-12-11
US Dollar	0.011985	83.435542	2023-12-11
Venezuelan Bolivar	42623.465212	2.3e-05	2023-12-11
